Date,Close,Open,High,Low,Volume
18/06/18,558.50,563.00,563.45,547.30,10566965.00
19/06/18,555.00,558.00,565.60,549.45,9452190.00
20/06/18,563.25,556.25,565.90,553.30,6610703.00
21/06/18,557.75,568.95,568.95,556.10,8465198.00
22/06/18,561.85,560.40,564.60,556.10,6247845.00
25/06/18,558.60,559.80,564.80,556.35,3899261.00
26/06/18,549.50,558.35,559.90,538.25,10207582.00
27/06/18,543.20,551.70,552.50,539.10,5654150.00
28/06/18,548.45,545.00,556.50,544.00,8655978.00
29/06/18,567.75,551.95,569.80,551.05,9477384.00
02/07/18,560.50,575.95,586.50,556.25,15763048.00
03/07/18,566.00,561.95,572.40,553.45,11236177.00
04/07/18,571.10,567.40,573.40,559.55,6862947.00
05/07/18,553.30,565.00,565.00,552.00,6013653.00
06/07/18,553.50,550.00,564.25,546.35,6614783.00
09/07/18,555.60,563.70,565.75,554.75,7443751.00
10/07/18,568.65,559.00,571.00,556.90,10004905.00
11/07/18,555.70,565.70,565.70,554.15,6111245.00
12/07/18,555.20,560.00,567.90,553.15,8443988.00
13/07/18,558.60,559.35,562.00,553.00,5579129.00
16/07/18,519.25,559.70,559.90,517.05,11159885.00
17/07/18,532.35,522.00,535.70,513.00,10792706.00
18/07/18,504.25,536.00,536.95,501.00,16451209.00
19/07/18,498.65,508.00,513.40,493.00,16808651.00
20/07/18,503.20,499.00,505.75,495.00,7261409.00
23/07/18,516.90,506.00,519.50,498.30,6878134.00
24/07/18,527.40,516.00,529.60,516.00,8398369.00
25/07/18,536.00,531.00,538.00,529.00,6782638.00
26/07/18,534.85,536.95,539.95,531.35,7481191.00
27/07/18,550.20,538.00,553.55,536.30,6462885.00
30/07/18,553.00,549.45,558.50,547.35,4787707.00
31/07/18,563.05,551.95,564.90,543.55,6373966.00
01/08/18,555.80,562.85,567.60,551.30,6067992.00
02/08/18,554.30,552.70,560.90,540.60,9493099.00
03/08/18,554.45,556.40,560.00,550.65,5570690.00
06/08/18,553.25,559.00,564.90,551.25,5543881.00
07/08/18,573.15,557.35,576.70,553.65,9285854.00
08/08/18,577.50,578.25,583.75,573.55,9008431.00
09/08/18,585.95,580.00,587.70,575.80,5757687.00
10/08/18,576.70,585.95,586.00,572.70,5725493.00
13/08/18,568.80,574.95,582.15,566.00,7856831.00
14/08/18,578.95,587.00,587.00,562.55,24030560.00
